ID,FieldName,Value,Confirmed
1,robotHp,1000,0
2,dodgeVfxSeconds,0.5,0
3,robotAttackRangeTbd,9.2,0
4,autoPilotHoldWhenMoreThanTbd,1,0
5,robotMoveSpeedTbd,4.5,0
6,enemyMoveSpeedTbd,1.5,0
7,enemyAttackRangeTbd,1,0
8,enemyAttackIntervalTbd,1,0
9,spawnCadenceTbd,0.8,0
10,arenaRadiusTbd,6,0
11,spawnRingMinTbd,8,0
12,spawnRingMaxTbd,14,0
13,spawnRingRadiusTbd,0,0
14,droneOrbitRadiusTbd,1.6,0
15,droneOrbitSpeedTbd,1.6,0
16,droneFlySpeedTbd,6,0
17,droneAttachDistanceTbd,0.35,0
18,droneLeashRadiusTbd,0,0
19,droneDamageFractionTbd,0.1,0
20,droneHitIntervalTbd,0.5,0
21,droneLaunchScaleTbd,0.5,0
22,manualOverrideGraceTbd,2,0
23,autoRestartDelayTbd,1.5,0
24,animCellSeconds,0.0625,0
25,animIdleSeconds,1,0
26,animMoveSeconds,1,0
27,animDeathSeconds,2,0
28,animTagInSeconds,0.75,0
29,animTagEntryTrailCells,3,0
30,tagLaserSweepSeconds,0.4,0
31,tagLaserWidthArtPixels,53,0
32,tagLaserAfterglowDegrees,90,0
33,tagBulletSweepSeconds,0.4,0
34,tagBulletFanDegrees,120,0
35,tagBulletCount,10,0
36,tagBulletSizeArtPixels,38,0
37,tagBulletFallArtPixels,192,0
38,tagSweepOnceOnly,1,0
39,tagBulletFullCircleCountTbd,30,0
40,tagLaserMaxBeamsTbd,16,0
41,tagFlashAlphaTbd,0.35,0
42,tagFlashSecondsTbd,0.18,0
43,tagBeamCellsTbd,1.5,0
44,droneBeamCellsTbd,0.12,0
45,tagBeamSecondsTbd,0.3,0
46,tagWaveCountTbd,3,0
47,tagWaveIntervalSecondsTbd,0.15,0
48,tagWaveSecondsTbd,0.45,0
49,tagBulletSizeMultTbd,2,0
50,tagBulletWavesTbd,3,0
51,tagBulletWaveSecondsTbd,0.22,0
52,invincibleBlinkSecondsTbd,0.06,0
53,invincibleBlinkMinAlphaTbd,0.3,0
54,enemyProjectileViewUnitsTbd,0.5,0
55,droneAoeRingOn,1,0
56,enemySideStepHoldTbd,0.4,0
57,enemySideDetourCellsTbd,3,0
58,enemySideDetourRecoverSecondsTbd,2,0
59,enemyPushStrengthTbd,6,0
60,ammoOutScaleAssumed,0.5,0
61,vfxOneShotSeconds,0.2,0
62,waveSizeTbd,4,0
63,waveIntervalSecondsTbd,0,0
64,dropRestSecondsTbd,0.25,0
65,dropMagnetSecondsTbd,0.45,0
66,dropViewUnitsTbd,0.3,0
67,dropPopSecondsTbd,0.9,0
68,dropPopRiseUnitsTbd,0.8,0
69,dropPopSideUnitsTbd,1.1,0
70,combatPowerMountFactorTbd,0,0
71,dodgeAfterimageCountTbd,9,0
72,dodgeTrailSecondsTbd,0.6,0
73,dodgeAfterimageAlphaTbd,0.45,0
74,dodgeStreakThicknessTbd,0.35,0
75,shotsPerRound,3,0
76,shotDamageFactor,0.5,0
77,multiShotCountTbd,1,0
78,aoeRadiusTbd,1.5,0
79,aoeSplashFactorTbd,0,0
80,flickMinPixelsTbd,40,0
81,flickMaxSecondsTbd,0.3,0
