ID,ParamKey,TID_Label,GroupName,Value,Confirmed,Basis,Intent,DocRef
1,origin,원점 출력,원점·곡선,100,1,온보딩 공장 출력(불변) — 관통탄 20×5발 기본 라인,요구치 분모=100,밸런스 2장
2,enh,"마운트계수(S4 강화, 곱셈)",원점·곡선,1.45,1,실측 확정 ×1.45 (유효 실구간 ≈×1.34~1.48),"S4부터만 곱연산, 탄종 상대가치 보존",밸런스 3장 (2026-07-17)
3,moduleMult,모듈 배율(M/R 합성),원점·곡선,1,1,MVP 상수 1.0 확정 (성장 통로 흡수),판정식 곱항,밸런스 3장 미결 #16
4,pA0,관통탄 발사/초 (대표 상태),로봇A 탄약(스펙트럼),2,1,대표 상태 145 = 관통1+분열1+폭발2 (실측선),표준 발사수 스펙은 5발/초 — 대표 라인 생산은 1,밸런스 2장 · 07 5장
5,dA0,관통탄 발당피해,로봇A 탄약(스펙트럼),20,1,스펙트럼 좌단 — 20×5=등가선 100,다발형: 방어에 많이 깎임,07 5장 (2026-07-17)
6,pA1,분열탄 발사/초 (대표 상태),로봇A 탄약(스펙트럼),2,1,대표 상태 구성,표준 발사수 스펙은 4발/초,밸런스 2장 · 07 5장
7,dA1,표준탄 발당피해,로봇A 탄약(스펙트럼),10,1,특수탄 둘이 표준탄을 재료로 먹으므로 표준탄이 관통탄보다 낮아야 한다 — 구조가 강제한다(260909_W01 2-2). 구 값 25(등가선 100)는 폐기,저피해·고빈도 — 노드당 출력 5로 관통과 같다,260909_W01 2-1 · 밸런스 문서「표준탄 좌표와 특수탄 필요 생산치」
8,pA2,폭발탄 발사/초 (대표 상태),로봇A 탄약(스펙트럼),4,1,대표 상태 구성 — 표준 발사수 스펙과 동일 2발/초,단발형: 방어에 덜 깎임,밸런스 2장 · 07 5장
9,dA2,폭발탄 발당피해,로봇A 탄약(스펙트럼),50,1,스펙트럼 우단 — 50×2=등가선 100,고피해·저빈도,07 5장 (2026-07-17)
10,specA0,관통탄 발사수 스펙(발/초),로봇A 탄약(스펙트럼),5,1,pA0 intent 「표준 발사수 스펙은 5발/초」 · spectrum 좌표 관통 20×5,라인 100% 가동 발사율 — 필요 노드 5개,밸런스 문서「라인 가동률과 군수 노드 생산 단위」 · 07 5장
11,specA1,표준탄 발사수 스펙(발/초),로봇A 탄약(스펙트럼),6,1,260909_W01 2-1 확정 — 표준탄 좌표 10 × 6발/초(초당 출력 60). 구 값 4(분열 25×4 등가선)는 폐기,라인 100% 가동 발사율 — 1발/초에 노드 2대(기초 군수 1 + 부품 가공 1)이므로 6발/초에 12대,밸런스 문서「라인 가동률과 군수 노드 생산 단위」 · 07 5장
12,specA2,폭발탄 발사수 스펙(발/초),로봇A 탄약(스펙트럼),2,1,pA2 intent 「표준 발사수 스펙과 동일 2발/초」 · spectrum 좌표 폭발 50×2,라인 100% 가동 발사율 — 필요 노드 2개,밸런스 문서「라인 가동률과 군수 노드 생산 단위」 · 07 5장
13,muniPerNode,군수 노드 1개당 생산(발/초),로봇A 탄약(스펙트럼),1,1,노드 1개 = 1발/초. 라인 100% 가동 필요 노드 = 관통 5 / 분열 4 / 폭발 2 → 비용 배수 1 : 1.25 : 2.5가 등가선에서 도출된다 (2026-08-25 확정),"라인 가동률 = min(1, 보유 노드 ÷ 필요 노드) — capA(소비 천장)와 별개의 축",밸런스 문서「라인 가동률과 군수 노드 생산 단위」
14,capA,마운트 소비 상한(발/초),로봇A 탄약(스펙트럼),12,1,소비 천장(상수) — 고효율 탄 우선 배분,생산>소비 시 병목,07 5장 (2026-07-17)
15,pB,드론 유입(기/초) — 누적형 기본 프리셋,로봇B 드론,1,1,누적형 100×1.0 (등가선 100). 광역형 50×2.0은 스펙트럼 대안(시뮬 단일 슬롯 — override로 교체 검증),유입=생산,07 5장 (2026-07-23)
16,dB,드론 기당피해(=충전량) — 누적형,로봇B 드론,100,1,단발 고밀도(관통형) — S5 해답자,고방어 관통 해답(S5 def45 → 실효 100),07 3·5장 (2026-07-23)
17,dBAoe,드론 기당피해 — 광역형,로봇B 드론,50,1,"✅ **무기 스펙트럼 좌표**(플레이어블 로봇 기획서 · 2026-07-17·07-23 확정 · 「광역형 50×2.0」). 2026-09-19 에 `droneAoeDamageFactor` 0.5 를 폐기하고 이 좌표로 모았다(`260918_W02` 5장 문안) — 종전에는 같은 값이 **문서에 50, 코드에 0.5** 로 두 자리에 살았다. ⚠️ **감쇠 규칙이 아니다** — 충전량·수명과는 다른 축이고, 「표적당 절반」은 이 좌표가 누적형 100 의 절반이라는 사실의 다른 표현일 뿐이다",광역형의 대가를 좌표 하나로 적는다 — 배수는 이 수를 누적형 100 으로 나눠 나온다,260918_W02 5장 · 플레이어블 로봇 기획서「무기 스펙트럼」
18,slot,동시 출격 슬롯,로봇B 드론,3,1,상수(강화 비대상 — 미결 #13),방출 병렬도,07 3장 · 밸런스 #13
19,r,방출률 r(기/초/슬롯),로봇B 드론,1,1,"min(유입 1.0, 슬롯 3×r 1.0)=1.0 실측","min(유입,슬롯×r)",밸런스 10-3 (2026-07-23)
20,pw,노드 전력 소비(합),병목,66,0,가동 고정비(TBD — 노드 카탈로그와 결합),전력=고정비 전용,밸런스 1장
21,pwc,전력 공급 용량,병목,80,0,발전 용량(TBD),pwc<pw면 효율<1,밸런스 10-3
22,belt,벨트 용량(처리량/초),병목,14,0,벨트 대역(TBD),필요<용량이면 무손실,밸런스 6-1
23,heat,발열 발생/초,병목,8,0,발열 합(TBD),임계 초과 시 감쇠,밸런스 6-1
24,heatc,발열 임계,병목,12,0,냉각 임계(TBD),heat>heatc면 감쇠,밸런스 6-1
25,store,저장 용량(태그 만충),태그,40,1,태그 주기 10초(÷대표 생산 4발/초) · 교대 계수 0.96,태그 주기 결정,밸런스 4장 (2026-07-23)
26,tagspec,등장 특공(마진항),태그,2103,1,식 확정: 비축 발수 × 강화 평균 발당피해 = 40×52.6,요구치 예산 밖 마진,밸런스 4장 (2026-07-23)
